,Año,Trimestre,Total,Ingresos (miles de pesos)
0,2022,1,10624009,51432896
1,2021,4,10489794,45467887
2,2021,3,10085541,42999944
3,2021,2,9863084,38239667
4,2021,1,9647972,36676371
5,2020,4,9571562,33539703
6,2020,3,9356199,31997445
7,2020,2,9031056,32102476
8,2020,1,8812426,29946216
9,2019,4,8793181,24169251
10,2019,3,9164684,21652748
11,2019,2,8960181,20743118
12,2019,1,8648135,20207414
13,2018,4,8473655,16637687
14,2018,3,8347035,15410981
15,2018,2,8110444,14319467
16,2018,1,8037053,13171459
17,2017,4,7870222,11226127
18,2017,3,7724943,10065998
19,2017,2,7429664,9678647
20,2017,1,7305854,8701201
21,2016,4,7251673,7483980
22,2016,3,7206950,6912442
23,2016,2,7130079,6534241
24,2016,1,6907356,5936845
25,2015,4,6984831,5376899
26,2015,3,6935068,5153739
27,2015,2,6816188,4701791
28,2015,1,6737732,4876385
29,2014,4,6598496,3950441
30,2014,3,6595271,3478638
31,2014,2,6464468,3270816
32,2014,1,6398398,2984054
