,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Mbps (Media de bajada),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,ADSL,Cablemodem,Fibra óptica,Wireless,Otros
0,2022,1,Buenos Aires,76.08,63,31591,30056,313382,321756,290127,161183,3381049,26280.0,392045.0,2728865,1242121,125521,66872.0
1,2022,1,Capital Federal,111.8,88,527,5575,39918,77390,61053,43289,1188072,1717.0,102290.0,1217225,62308,5784,29934.0
2,2022,1,Catamarca,58.21,51,71,456,4386,7009,8773,3761,35715,2207.0,14181.0,15517,29118,1328,2234.0
3,2022,1,Chaco,44.06,46,461,1099,16888,21235,20898,13012,62946,7580.0,32391.0,64546,36662,8164,2356.0
4,2022,1,Chubut,88.05,13,113,1677,61369,31856,33080,13871,14055,15607.0,44133.0,66667,9184,30592,21052.0
5,2022,1,Córdoba,85.76,50,100,12782,165922,126009,73967,34892,577027,13104.0,195610.0,501799,235838,60843,9713.0
6,2022,1,Corrientes,47.64,38,67,4029,24563,25665,27077,10452,43631,7094.0,40462.0,79093,10875,6774,5374.0
7,2022,1,Entre Ríos,63.7,36,107,5745,50075,49620,42294,21578,81757,16750.0,67159.0,138986,23091,26098,12592.0
8,2022,1,Formosa,34.96,30,97,448,24113,6945,6613,716,15028,588.0,16397.0,15927,5146,16876,202.0
9,2022,1,Jujuy,58.06,28,58,1761,22141,16321,37923,576,35287,2442.0,21307.0,60616,25949,4662,3975.0
10,2022,1,La Pampa,91.66,15,301,2223,62812,9869,12044,5250,14400,2833.0,8003.0,58978,21739,19903,1109.0
11,2022,1,La Rioja,78.77,41,18,778,3576,4692,23624,5645,45970,0.0,9103.0,59228,9546,6395,31.0
12,2022,1,Mendoza,48.74,26,114,3355,51230,26407,74178,21566,95048,3287.0,49464.0,74145,123228,26969,1379.0
13,2022,1,Misiones,49.04,42,51,3873,35655,22261,26855,15854,58610,8349.0,39147.0,91752,25178,7807,7624.0
14,2022,1,Neuquén,74.17,43,137,1123,39856,15623,11163,2654,71238,7885.0,28443.0,73200,24193,23098,745.0
15,2022,1,Río Negro,67.04,31,116,1383,35565,18859,26926,14144,37729,22652.0,38662.0,45366,38037,16815,18494.0
16,2022,1,Salta,56.11,37,114,1725,35576,68246,6313,2214,76838,6489.0,44714.0,98667,40994,5950,7190.0
17,2022,1,San Juan,43.55,12,26,2269,32356,11914,25144,2088,11916,2465.0,34038.0,14449,11294,20723,7674.0
18,2022,1,San Luis,80.72,21,61,643,8287,3837,9802,68612,13,28589.0,7987.0,11296,31,71809,28721.0
19,2022,1,Santa Cruz,43.34,11,51,6898,12710,11502,12277,2628,2551,485.0,10537.0,23420,10766,3974,405.0
20,2022,1,Santa Fe,77.3,39,468,12435,143796,208361,84787,58018,344170,18444.0,213486.0,444609,146552,45261,20571.0
21,2022,1,Santiago Del Estero,47.17,14,178,1401,30220,61170,13542,849,8309,792.0,18118.0,87979,1093,6349,2922.0
22,2022,1,Tierra Del Fuego,98.29,11,24,894,12849,15640,18034,1767,982,2421.0,13031.0,38700,416,124,340.0
23,2022,1,Tucumán,57.39,47,39,2212,36028,46961,21014,5211,133846,273.0,92532.0,62396,86174,3995,487.0
24,2021,4,Buenos Aires,75.66,60,37821,11026,352950,331292,297296,196021,3259793,22958.0,426325.0,2706506,1176024,126887,73415.0
25,2021,4,Capital Federal,111.27,83,563,1695,47133,81899,66135,66755,1147939,0.0,111360.0,1205128,60005,5679,29947.0
26,2021,4,Catamarca,55.25,46,71,0,6038,7855,9804,3262,29827,2233.0,16385.0,13858,25100,1512,2235.0
27,2021,4,Chaco,44.05,42,461,112,18845,22678,21937,13692,58435,7585.0,35548.0,63145,34688,8005,2359.0
28,2021,4,Chubut,82.57,9,126,1294,63698,39568,31175,5780,2904,15763.0,46361.0,57412,9655,28041,18839.0
29,2021,4,Córdoba,84.51,46,100,2479,184548,130892,76246,41198,538700,12607.0,212011.0,487489,217214,61277,8779.0
30,2021,4,Corrientes,45.51,36,67,645,28830,26368,22922,10087,39911,7082.0,42523.0,71183,10138,6778,5290.0
31,2021,4,Entre Ríos,63.16,33,107,3024,56043,49636,38295,24068,77290,16583.0,70459.0,133387,23452,25022,12726.0
32,2021,4,Formosa,34.45,29,84,0,22908,6983,6811,1135,13775,1967.0,17211.0,15111,5151,16018,172.0
33,2021,4,Jujuy,56.92,27,58,175,22446,16793,38134,564,33421,2324.0,22330.0,60511,24156,2927,3991.0
34,2021,4,La Pampa,89.57,14,301,493,64840,9082,12259,4821,12184,3027.0,8175.0,58000,20192,19286,1354.0
35,2021,4,La Rioja,77.92,40,18,1,5018,5437,23559,5671,43424,0.0,10387.0,56651,9446,6613,31.0
36,2021,4,Mendoza,47.51,22,156,1463,66428,30308,75214,18621,75031,366.0,59842.0,71553,109667,24666,1859.0
37,2021,4,Misiones,49.06,39,51,5,41916,23554,26721,15954,54596,8335.0,41778.0,92068,22035,7649,7602.0
38,2021,4,Neuquén,73.3,40,140,940,42313,13264,10515,3310,69217,7767.0,29175.0,72761,23253,21531,746.0
39,2021,4,Río Negro,65.69,27,156,1174,38373,19878,31255,4130,36142,22645.0,42037.0,44495,32212,16558,18451.0
40,2021,4,Salta,56.81,34,114,20,40673,69324,6642,3535,72622,6475.0,46972.0,99808,39555,5882,7188.0
41,2021,4,San Juan,39.59,11,44,1442,28906,10955,23978,398,9800,4435.0,35868.0,13102,11072,11423,8493.0
42,2021,4,San Luis,80.3,21,62,264,8550,4276,9107,67363,9,29218.0,8472.0,11064,30,70560,28723.0
43,2021,4,Santa Cruz,43.05,9,52,297,20305,11641,13054,1770,876,491.0,10790.0,22902,10031,4346,417.0
44,2021,4,Santa Fe,77.09,36,467,581,169706,206856,85690,62349,322015,18777.0,233427.0,444373,128856,43556,16229.0
45,2021,4,Santiago Del Estero,47.05,14,178,909,31915,61524,12205,800,7537,793.0,19032.0,86563,1088,6256,2922.0
46,2021,4,Tierra Del Fuego,98.4,11,26,385,13505,16534,16562,1748,1017,2580.0,13317.0,38148,426,124,342.0
47,2021,4,Tucumán,55.93,45,39,97,37321,48736,21023,5326,125857,240.0,97830.0,59022,78790,2511,486.0
48,2021,3,Buenos Aires,71.68,56,37193,31149,1108940,248153,141383,192797,2482266,9728.0,585729.0,2595485,885613,120228,64554.0
49,2021,3,Capital Federal,111.27,78,295,603,156978,67013,39785,73502,1075229,0.0,142902.0,1192107,42966,6059,29371.0
50,2021,3,Catamarca,52.71,43,71,0,6755,8428,10517,1659,26618,2206.0,18413.0,11709,22331,1568,2233.0
51,2021,3,Chaco,42.96,39,301,112,22545,20986,23852,14412,49705,7958.0,38258.0,63659,27583,8018,2353.0
52,2021,3,Chubut,80.71,8,104,105,89168,26281,18538,5320,1643,14907.0,49269.0,55794,8946,23376,18681.0
53,2021,3,Córdoba,81.28,42,99,2452,204989,141285,65050,47198,476459,9256.0,229275.0,477223,167495,57617,15178.0
54,2021,3,Corrientes,44.9,32,67,645,29629,28478,24792,9687,35468,5053.0,44805.0,69403,7542,6766,5303.0
55,2021,3,Entre Ríos,62.18,30,107,3024,61354,59776,39114,16284,67961,12755.0,74443.0,128752,20485,23500,13195.0
56,2021,3,Formosa,33.96,27,381,0,22778,7142,6978,1192,12707,1617.0,18093.0,14111,4730,15690,171.0
57,2021,3,Jujuy,55.69,26,48,175,23884,16417,37755,561,29917,2401.0,23554.0,60758,19926,2952,3968.0
58,2021,3,La Pampa,84.28,13,298,313,65063,7395,8737,4023,10506,4152.0,9015.0,57881,17817,14479,1295.0
59,2021,3,La Rioja,77.26,39,18,1,5366,5979,23315,4868,42613,0.0,11329.0,54744,9444,6613,30.0
60,2021,3,Mendoza,45.55,13,36,31,151871,12640,62628,7596,21087,50.0,91474.0,71247,70579,21811,828.0
61,2021,3,Misiones,45.57,31,51,5,41932,25099,26079,14792,42291,8279.0,43230.0,89469,10969,7198,7662.0
62,2021,3,Neuquén,69.71,38,112,327,57441,8566,6234,3631,57919,5579.0,29650.0,73794,16455,19270,640.0
63,2021,3,Río Negro,61.97,25,125,557,68991,3730,14880,2282,34011,20009.0,47934.0,44519,18725,15031,18376.0
64,2021,3,Salta,55.96,31,101,20,41431,70104,6962,3878,67010,6327.0,49212.0,98318,36126,5724,6453.0
65,2021,3,San Juan,39.46,7,18,333,59873,752,13250,338,278,4641.0,40072.0,12922,6670,11372,8447.0
66,2021,3,San Luis,79.87,22,60,0,11552,2405,6491,67942,22,29392.0,8417.0,11884,27,68856,28680.0
